modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Sherborne,24/2/1340,3,5,24,2,1340,1340/2/24,51.824365,-1.7547442,Gloucestershire,261,
Hartlebury,24/2/1342,3,5,24,2,1342,1342/2/24,52.327826,-2.2508729,,1161,
Hartlebury,24/3/1340,3,5,24,3,1340,1340/3/24,52.327826,-2.2508729,Worcestershire,,
Alvechurch,24/3/1343,3,5,24,3,1343,1343/3/24,52.34607,-1.9720644,Worcestershire,,
Hartlebury,24/3/1344,3,5,24,3,1344,1344/3/24,52.327826,-2.2508729,Worcestershire,,
Hartlebury,24/4/1339,3,5,24,4,1339,1339/4/24,52.327826,-2.2508729,Worcestershire,,
Alvechurch,24/4/1340,3,5,24,4,1340,1340/4/24,52.34607,-1.9720644,Worcestershire,,
Hartlebury,24/4/1344,3,5,24,4,1344,1344/4/24,52.327826,-2.2508729,Worcestershire,,
Bristol,24/4/1346,3,5,24,4,1346,1346/4/24,51.47254,-2.5772934,Gloucestershire,,
Alvechurch,24/4/1440,3,5,24,4,1440,1440/4/24,52.34607,-1.9720644,Worcestershire,1139,
Gloucester Deanery,24/5/1340,3,5,24,5,1340,1340/5/24,51.860322,-2.2482616,Gloucestershire,,
Hartlebury,24/5/1343,3,5,24,5,1343,1343/5/24,52.327826,-2.2508729,Worcestershire,,
Ripple,24/5/1349,3,5,24,5,1349,1349/5/24,52.031254,-2.190903,Worcestershire,,
