modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Hartlebury,18/7/1349,3,5,18,7,1349,1349/7/18,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/1/1341,3,5,19,1,1341,1341/1/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/1/1344,3,5,19,1,1344,1344/1/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/1/1347,3,5,19,1,1347,1347/1/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/1/1348,3,5,19,1,1348,1348/1/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/10/1348,3,6,19,10,1348,1348/10/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/11/1340,3,6,19,11,1340,1340/11/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/12/1348,3,6,19,12,1348,1348/12/19,52.327826,-2.2508729,Worcestershire,,
London,19/2/1339,3,5,19,2,1339,1339/2/19,51.512747,-0.1135832,Middlesex,16,
Fairford,19/2/1340,3,5,19,2,1340,1340/2/19,51.698548,-1.7843625,Gloucestershire,,
Hartlebury,19/2/1344,3,5,19,2,1344,1344/2/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/2/1345,3,5,19,2,1345,1345/2/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/2/1348,3,5,19,2,1348,1348/2/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/2/1349,3,5,19,2,1349,1349/2/19,52.327826,-2.2508729,Worcestershire,,
Tanworth,19/3/1342,3,5,19,3,1342,1342/3/19,52.327985,-1.8400134,Warwickshire,,
Hartlebury,19/3/1349,3,5,19,3,1349,1349/3/19,52.327826,-2.2508729,Worcestershire,,
Tewkesbury,19/4/1345,3,5,19,4,1345,1345/4/19,51.986345,-2.1615883,Gloucestershire,,
Bredon,19/5/1339,3,5,19,5,1339,1339/5/19,52.022359,-2.1179982,Worcestershire,,
Bredon,19/5/1340,3,5,19,5,1340,1340/5/19,52.022359,-2.1179982,Worcestershire,,
Bristol Deanery,19/6/1340,3,5,19,6,1340,1340/6/19,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,19/6/1347,3,5,19,6,1347,1347/6/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/6/1349,3,5,19,6,1349,1349/6/19,52.327826,-2.2508729,Worcestershire,,
Henbury in Salt Marsh,19/7/1345,3,5,19,7,1345,1345/7/19,51.492383,-2.619894,Gloucestershire,,
Hartlebury,19/7/1349,3,5,19,7,1349,1349/7/19,52.327826,-2.2508729,Worcestershire,,
Hartlebury,19/9/1339,3,5,19,9,1339,1339/9/19,52.327826,-2.2508729,Worcestershire,,
Bishops Cleeve,19/9/1343,3,5,19,9,1343,1343/9/19,51.947366,-2.060942,,,
Gloucester,19/9/1344,3,5,19,9,1344,1344/9/19,51.860322,-2.2482616,Gloucestershire,1225,
Alvechurch,2/11/1340,2,5,2,11,1340,1340/11/2,52.34607,-1.9720644,Worcestershire,,
Alvechurch,9/11/1340,2,5,9,11,1340,1340/11/9,52.34607,-1.9720644,Worcestershire,366,
Hartlebury,2/12/1341,2,5,2,12,1341,1341/12/2,52.327826,-2.2508729,Worcestershire,,
Ramsbury,2/12/1347,2,5,2,12,1347,1347/12/2,51.437358,-1.6129552,Wiltshire,,
